Line,block,group,year,Oil,Palmitic,Stearic,Oleic,Linoleic,Linolenic
154,1,C,1,19.5953,10.685,3.1725,26.2829,52.7917,4.4275
154,2,C,1,19.8693,10.8116,3.6622,23.1969,50.363,5.3975
154,3,C,1,19.4141,11.1038,3.3609,27.852,51.5956,4.453
154,4,C,1,19.591,10.516,3.24,26.174,52.0114,5.5661
154,5,C,1,20.1629,10.5212,3.4643,25.5,50.4599,4.7191
154,6,C,1,20.4561,11.256,3.6274,27.3856,50.5532,5.4294
154,1,C,2,21.5477,11.4357,3.1513,18.6668,56.4604,6.7379
154,2,C,2,21.5303,10.9828,2.7754,18.5168,56.3744,6.6908
154,3,C,2,20.854,11.3447,2.7531,18.2519,56.8656,6.7769
154,4,C,2,20.848,11.0189,3.1417,20.6798,57.2178,6.0359
154,5,C,2,21.3944,10.9149,3.0211,19.4906,56.697,7.1668
154,6,C,2,21.5088,11.3329,2.8793,19.7579,56.9449,6.3328
10,1,C,1,21.1338,10.8744,3.2117,23.7217,50.9428,4.9367
10,2,C,1,21.6448,10.6191,3.1074,29.7369,49.8103,5.15
10,3,C,1,22.0823,10.8818,3.2022,23.7965,51.7125,5.8445
10,4,C,1,21.5476,10.6315,3.0602,25.0896,51.4335,4.7356
10,5,C,1,22.0724,10.3877,3.0689,27.6905,49.8753,5.9497
10,6,C,1,21.668,10.9111,3.0831,28.6683,50.5989,4.8984
10,1,C,2,20.834,10.8704,2.8415,22.5482,54.3794,5.999
10,2,C,2,20.1596,10.9189,3.0536,22.7056,54.4973,5.6569
10,3,C,2,20.1895,10.5852,2.8772,22.0062,55.7036,6.968
10,4,C,2,20.0077,10.487,2.9656,21.439,55.4655,6.8021
10,5,C,2,20.3196,10.6417,2.9468,22.3804,54.2685,6.8639
10,6,C,2,20.5298,10.827,2.9397,23.089,54.8696,6.6271
11,1,C,1,19.528,11.2807,3.4793,18.6041,55.9848,7.1956
11,2,C,1,20.5704,11.0678,3.4547,19.591,55.1842,7.1922
11,3,C,1,21.1703,11.5708,3.6725,22.357,55.6286,7.6127
11,4,C,1,20.3832,11.2857,3.5762,20.1104,53.1479,7.1087
11,5,C,1,20.3892,11.0996,3.9146,21.2678,53.0795,6.8218
11,6,C,1,20.5902,11.0381,3.7387,22.5426,55.6421,7.6254
11,1,C,2,20.519,11.3118,2.3748,17.7712,56.448,7.3713
11,2,C,2,20.6332,11.368,2.5136,20.0729,56.6433,7.4969
11,3,C,2,20.8002,11.1358,2.3526,19.4712,55.9672,7.9646
11,4,C,2,20.4406,11.6231,2.5654,19.1082,57.0977,8.3209
11,5,C,2,20.1536,11.4381,2.5914,19.6581,57.3911,7.3257
11,6,C,2,20.737,11.082,2.6245,17.7458,56.0016,8.4979
127,1,C,1,22.0038,11.7605,3.4238,22.762,54.0148,6.1759
127,2,C,1,22.1425,11.7006,3.8872,20.0421,53.0203,7.1064
127,3,C,1,21.4369,11.6966,3.9558,20.6212,52.2143,6.034
127,4,C,1,21.7829,11.3233,3.8219,24.8294,54.1873,6.2726
127,5,C,1,21.3747,11.9793,3.5242,20.213,53.0384,6.5608
127,6,C,1,21.4721,11.385,3.947,22.9932,51.8519,6.9425
127,1,C,2,21.653,11.544,3.0106,19.0757,55.24,6.5658
127,2,C,2,21.4328,11.1454,3.0942,19.2886,55.5305,7.3765
127,3,C,2,21.3714,11.4317,2.9893,20.218,56.0763,6.7613
127,4,C,2,21.4014,11.6683,3.1852,18.5329,56.1799,7.5062
127,5,C,2,20.8832,11.1379,3.0147,21.4102,55.8343,7.9133
127,6,C,2,21.4416,11.6334,3.0636,18.7557,55.4242,7.6492
158,5,PI,1,22.65,10.15,3.71,23.18,55.21,5.29
158,5,PI,2,23.57,9.89,2.92,22.29,57,5.78
3,2,PI,1,21.45,9.88,3.31,36.55,44.9,6.1
3,2,PI,2,18.86,11.06,3.41,23.88,52.42,6.78
159,4,PI,1,22.18,12.49,3.53,20.76,54.69,6.19
159,4,PI,2,21.13,10.92,2.71,21.06,56.89,5.22
171,5,PI,1,22.03,11.62,3.35,18.34,56.88,6.66
171,5,PI,2,21.97,11.13,3.17,21.61,55.05,6.27
8,3,PI,1,18.15,11.64,3.18,17.02,59.31,6.49
8,3,PI,2,20.34,11.03,2.84,17.68,60,6.42
9,4,PI,1,20.87,11.21,3.33,16.44,59.99,6.82
9,4,PI,2,18.67,10.34,3.17,15.68,62.16,6.33
12,2,PI,1,20.78,12.16,3.93,21.39,54.17,5.75
12,2,PI,2,20.62,11.88,3.22,18.62,57.09,6.94
13,1,PI,1,18.88,11.54,3.5,16.01,59.2,6.55
13,1,PI,2,18.68,11.34,3.66,15.68,54.55,6.01
16,5,PI,1,12.81,12.08,2.95,15.63,57.27,9.79
16,5,PI,2,15.14,10.68,2.61,17.47,57.96,9.22
17,2,PI,1,16.22,10.59,3.21,24.54,52.82,6.36
17,2,PI,2,19.04,11.01,3.55,25.02,53.41,6.8
61,2,PI,1,15.52,10.52,2.48,29.64,48.85,5.59
